years,value,prev_return,exp_return,Sector,Name,period,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
2018,63.67120220786647,0.347367224807007,0.2379399744739567,Healthcare,ABT,FY,0.1163928441036874,0.1872716402046103,1.1147161066048668,1.1147161066048668,3.964360587002096,3.930372991388008,3.925925925925926,0.0068920256845541,0.0120068610634648,0.0602965194843784,0.1310592459605027,0.1062006764374295,-0.0894843114195853,0.2341431649262784,0.2570312694238904,-0.2457724597694856,0.6712741175066047,0.7817345710599873,-0.5734168533145123,-0.1894048657639661,-0.5509048523761088,0.5353838642884002,0.0693235421781855,0.2071296152528373,-0.2017423852527526,0.9735435588043978,0.1475045630626213,-0.0127643360640121,0.0541516245487364,-0.1190426229508196,-0.0188345867148678,-0.2993124194241512,0.029082774049217,0.0687726225732148
2019,78.82112643593236,0.2379399744739567,0.2749680510487935,Healthcare,ABT,FY,0.0433645104323369,0.0448187108325872,0.2416438356164383,0.2416438356164383,0.5570101351351351,0.5495117184603933,0.5488721804511277,0.0039210234938947,0.0062146892655367,0.1454579738121166,-0.026031746031746,-0.0831634732980024,-0.090064966472089,0.3482364808953015,0.2785297840700748,-0.2599503889465972,0.4285966518605518,0.6008943375077292,-0.4369618879611809,0.3812066430488048,1.2007938214656315,0.1934869544238725,0.2356943693605011,0.2649369821401925,-0.175057126521274,0.4472880018856839,0.2325980989381015,0.0468930914704747,0.136986301369863,0.0106292706891161,0.0144993878580921,-0.0343452928549524,0.0608695652173913,0.0021551724137931
2020,100.4944179534912,0.2749680510487935,0.2155658944950167,Healthcare,ABT,FY,0.084754262788365,0.0499116371231189,0.1820388349514563,0.1820388349514563,0.2191483590995389,0.2153110047846891,0.2135922330097087,0.0049514955588617,0.0028074115665356,0.1221967517323857,0.2876466753585397,0.272565584704313,-0.1404811473212029,0.4101615116020052,0.2438182323411406,-0.2100835433736592,1.2148273059297914,0.3963661597405284,-0.1513693734720051,-0.1550291812542985,8.27649181587225,0.2789536473283293,0.285078776544527,0.0445231671564684,-0.1630497725807472,0.4750358925269748,0.3629361253141581,0.1823041474654378,0.1612604263206672,0.0686582114395981,0.0493589161332798,0.0399597755901344,-0.0081967213114754,-0.0070660522273425
2021,122.1575870513916,0.2155658944950167,-0.1670407892906941,Healthcare,ABT,FY,0.2446544151641239,0.2516194848252996,0.572708605562815,0.572708605562815,0.5730812013348164,0.5787401574803148,0.576,-0.0040356587762343,0.0016797312430011,0.2558494297728917,0.3331223895709403,0.5108315863032844,-0.0130257958415386,0.7246545111264696,0.4019346517066534,0.0453013851979389,1.7456205160436324,0.6638841905334542,0.3312135847734088,3.2169472398739547,1.9717392458704008,0.3040512718317849,0.455440663647213,0.167286341676607,-0.029845374891404,0.7371130126361479,0.61430554975794,0.0113813532896788,0.0289305666400638,0.0364999724320449,0.0964821287507674,-0.032724311669805,0.1330578512396694,0.1679042904290429
2022,101.75228729248047,-0.1670407892906941,,Healthcare,ABT,FY,0.0134184561810795,-0.0011003341755644,-0.0074777448071216,-0.0074777448071216,-0.0195163343232923,-0.024937655860349,-0.0152284263959391,0.0040520113112439,-0.0016769144773616,0.0292460977855843,-0.0903826070445267,-0.0975948196114708,-0.0254808944649322,0.5688972866501334,0.361519475463238,-0.0843679291007193,0.693277329005696,0.5537473050853781,0.0349689104825077,13.307879368062803,0.8711256908835764,0.2221186603258718,0.1688438540233712,0.1742551609707633,-0.0745541684607026,0.7617014213533396,0.4505269732353377,0.3690457838754432,0.1970137676943959,-0.0100803234214585,0.0205560533527475,-0.0678733031674208,0.0532458059810357,-0.0067114093959731
2018,75.11063425164474,0.1413605909867541,-0.2115127831067453,Healthcare,ABBV,FY,0.1607952934505245,0.1822346052134492,-0.3345496246872393,-0.3345496246872393,0.0711998493124882,0.153274304436164,0.1090909090909092,-0.0711666472299288,-0.0355583281347473,0.4627553470152761,0.3480923694779116,0.3560598027780723,1.4618935213637716,0.8710409131026668,0.5598191396056118,1.672764445502222,1.299737533049299,0.939885602088064,0.3104849538083781,0.4787764260084299,0.2035458945145687,0.0,-3.0182283783056403,-3.3306897004267766,0.0,1.344241087013807,0.8441277011117406,0.0581761006289308,0.0,-0.1615291159268782,-2.78401557565591,0.0787304645686148,1.025428517611603,0.1791235059760956
2019,59.22377496016653,-0.2115127831067453,0.3464616136035208,Healthcare,ABBV,FY,0.0156626873874148,0.0316357100059916,1.033996553344822,1.033996553344822,0.3859679971865658,0.3781905761928759,0.4426229508196721,0.0014711699394075,-0.0401034928848641,0.1391842813835464,-0.0076711104490951,-0.0013292673391195,1.4967802019915166,0.7908591485823097,0.3952251381103724,1.6483651789964469,3.034131105631224,1.03483000116478,0.8136220605160497,3.77423946727774,0.4237325049561652,0.0,-6.040824656491602,-2.895451965990845,0.0,1.5706511417313782,0.8416280692527734,0.0081723625557206,0.129595015576324,0.5014658309745249,0.0338627444627768,0.6553708757132225,-0.4041662791779038,-0.0617651033923503
2020,79.74253959655762,0.3464616136035208,0.2671714283892352,Healthcare,ABBV,FY,0.3769013407082306,0.1777209896619816,-0.9633366710313488,-0.9633366710313488,-0.4143618370971834,-0.4849056603773585,-0.4848484848484848,0.12559081701553,0.1273584905660377,0.0768247858439621,0.3200240168117682,0.3145944253053555,1.7761548342588802,0.9351185363279064,0.5504264358873334,2.3500984690521705,1.2542111570344192,0.6865542835830424,0.0471740022507705,-0.1333849340598444,-0.1695829063910329,-0.2107514439666733,2.2010267175553486,1.4502109916921857,0.0,1.2621948991731704,0.7943647192986529,0.6252763448784082,0.8257032542746828,0.689558435729114,2.4215626771855616,0.2896535187627382,0.0234118932417668,0.6276289253817343
2021,101.04746780395509,0.2671714283892352,0.3562902597024151,Healthcare,ABBV,FY,0.2269015806479783,0.2739915179011737,15.52310924369748,15.52310924369748,1.5004332755632583,1.373626373626374,1.3713235294117645,0.0617876424715057,0.0621637776449491,0.130389197880697,0.2950307027518762,0.3097081596188207,1.8757563967197792,0.9721440488590604,0.4335253836135596,2.2547048963712,1.9105282710185785,0.4172970186661583,2.001061495111039,0.7444351621039006,0.695669397815416,0.1251928033900242,1.9902843445050524,2.5241879835059824,0.0,1.241686971444987,0.3866505426845271,0.1309226932668329,-0.0549848942598187,-0.0268056985355162,0.1097718163954144,-0.1089058287626661,0.0803721213969803,0.0929285777502433
2022,137.04969635009766,0.3562902597024151,,Healthcare,ABBV,FY,0.0330444685659376,0.0487471291063456,0.4230133502860775,0.4230133502860775,0.0254721885288511,0.0262345679012345,0.027906976744186,0.0005649717514124,0.0005627462014631,0.0838277931699151,0.0950959301049304,0.1026830377444292,1.8125469033497608,0.8496814708041153,0.4593788996404017,2.5005008901401133,1.251384088390547,0.5654909452992024,0.9980006476111978,1.0042526904389475,0.2557553100783134,3.568525554524081,2.0432343983911445,2.765622819156625,0.0,1.198360965031676,0.3192689033159467,0.1279943870903077,0.1441815856777493,-0.0527131148100376,0.1191755894112661,-0.1749126284492201,-0.0810276679841897,0.235727589278484
2018,159.4839758622019,0.2896907758648357,0.1531782094684546,Technology,ACN,FY,0.1315894764104522,0.1280469629097233,0.2608534413329508,0.2608534413329508,0.1784416290848378,0.1618705035971223,0.1654411764705881,0.0134614332993202,-0.0078234136114893,0.0755622056651274,0.2118728608402226,0.2132282729655024,0.5977340684885932,0.4060034525091622,0.2606647917056051,1.0900206331337736,0.874142992244809,0.4688773244294617,1.3329896553085947,0.2706994869387621,0.3260607091649208,2.9661752644391712,1.1463977114718151,0.6853551119306788,3.978154884052252,0.5646949790528621,0.2591565561660975,0.0887564545520958,0.0,0.0775320197673942,0.1427574840664186,-0.0022736338252891,0.0,0.0318838278224218
2019,183.91344572368425,0.1531782094684546,0.2228712073932708,Technology,ACN,FY,0.038736831974519,0.0700619702154953,0.0794435443955966,0.0794435443955966,0.1771481464969517,0.1594427244582043,0.1608832807570978,0.0153494411031483,-0.0077694291352085,0.0745847981403669,0.0996005934268075,0.1147368545635842,0.8209418046493675,0.347530918616974,0.2160085601204621,1.0474091637859768,0.889408284338933,0.4182863155759757,1.934714017024077,0.6148364657314989,0.1380400505775042,3.873556624532474,1.4984291481319438,0.8673618517232061,3.80983105961921,0.4766017755376209,0.2693448378411966,0.0798657429838023,0.0,0.2184456979429453,0.3691514274440388,-0.0941510414584416,0.0,0.0617615730810897
2020,224.9024574279785,0.2228712073932708,0.4647114489185102,Technology,ACN,FY,0.0257323999879393,0.0496797221234173,0.0330797069154144,0.0330797069154144,0.0687841172167549,0.0720961281708944,0.0720108695652173,-0.0028180806831237,-0.0037032481606762,0.0960862693680285,0.2396575017206248,0.2634523479315667,0.9220368453697808,0.3266284283444401,0.1749823668242887,1.660866650987599,0.9775718683634494,0.6098914068518814,1.872438821277964,0.6477624137748379,0.4448808471199142,5.003766534024888,1.730486569823641,0.8514103886594738,1.4759147375294466,0.4830819896698052,0.2668376526969875,-0.0306580387003399,0.0,0.244670774101809,0.1833061959914756,152.83145026039367,0.0,0.0646112610480405
2021,329.41720428466795,0.4647114489185102,-0.1769418026504337,Technology,ACN,FY,0.1400127357931577,0.170860260738323,0.1700868208333154,0.1700868208333154,0.1564203570237824,0.1594022415940225,0.1609632446134347,-0.0024435646905392,-0.002914433057357,0.1000319594298793,0.0925114958311179,0.1022838700528622,0.8791436282161719,0.4294485852745108,0.2026019513445551,1.6524599584052115,0.9309888716373348,0.4744677901057707,1.6378247715990752,0.4140064670178119,0.4404873159011921,4.120762959468231,1.5442187757228096,0.8654235467519595,2.5337093968249125,0.5304870581566724,0.2956590497841431,0.2397535227960318,0.0,0.1644412451141282,0.1514069122989072,0.0060596531988261,0.0,0.1715353565835856
2022,271.12953033447263,-0.1769418026504337,,Technology,ACN,FY,0.2188833208871069,0.2039467669771343,0.2290422302401526,0.2290422302401526,0.1642782084201469,0.1675617615467238,0.1692139737991267,-0.0031230852893914,-0.0047527760108365,0.1023706601955851,0.0630609099705096,0.0509963292505934,1.1023494227072712,0.6418148253488087,0.4373168016741547,1.278089929242899,0.8801899766443053,0.4518858356189869,1.737359146921913,0.9562552382570676,0.4511392184182592,4.419617267788599,1.420733323348246,0.5471819526923221,1.6266589119965114,0.536221757652556,0.3291612952004183,0.2105796008557379,0.0,0.0946720831831818,0.135573946588558,-0.0515816592207798,0.0,0.1820693137132333
2018,76.6625747680664,0.225977488472852,-0.300349150378537,Communication Services,ATVI,FY,0.0688328345446772,0.1034100974313551,0.5187165775401069,0.5187165775401069,5.641025641025641,5.611111111111112,5.527777777777779,0.0106100795755968,0.0065274151436031,0.1339860172345713,-0.1911432444645278,-0.1938775510204081,2.07700714542209,1.1991577912896172,0.5363109628449102,4.863406256276013,0.9030532575833086,0.4346738536877522,22.03537174675596,1.4122450040279615,0.9418217341666372,0.2231606405319748,1.3047267083157947,0.3448509194159357,0.0,0.6113541362885194,0.4555504091400339,0.1274509803921568,-0.0652173913043478,-0.0446218127276623,0.1876734732825486,-0.3915717539863326,0.029934518241347,-0.1141253507951356
2019,53.63703557064659,-0.300349150378537,0.481303715832633,Communication Services,ATVI,FY,-0.1348,-0.1180012040939193,-0.1916498993963782,-0.1916498993963782,-0.1709873138444567,-0.1764705882352941,-0.1702127659574468,0.0065616797900262,0.0,0.0855411194394245,0.0229050279329608,0.0337552742616033,1.5366863975639191,0.374212348296448,-0.0525766247541599,1.5890169403357652,0.322950177806661,-0.1802575496782897,21.249068315814977,0.6803129074315515,0.5011296735688776,0.9914072397904832,0.6526419635053088,0.3547798320139919,0.0,0.7971600635038891,0.4001938956306623,-0.1806763285024154,-0.2558139534883721,0.112699747687132,0.1201484039560458,0.0014975664545114,-0.0935513169845594,-0.1246040126715945
2020,79.4527400970459,0.481303715832633,-0.0269379300925836,Communication Services,ATVI,FY,0.2461087995068577,0.3255972696245733,0.70130678282514,0.70130678282514,0.4617431803060545,0.4540816326530613,0.4461538461538461,0.0052151238591916,0.0090791180285343,0.1108147374113743,0.2299290005461496,0.2676384839650145,1.881930049754465,0.6370132571586209,0.1269359367568885,1.593980936868458,0.7838943584118943,-0.0048147282037576,7.330491066718795,1.3256384754526471,6.870174788462726,1.335877916937276,0.7598364614139094,0.554158198772289,1.649977010547698,0.7551537346456091,0.3674001124846481,0.240566037735849,-1.0,0.164474678760393,0.1682145279056142,0.3476635514018691,0.1523046092184369,0.1145958986731001
2021,77.31244773864746,-0.0269379300925836,-0.0114075770969156,Communication Services,ATVI,FY,0.0886717783823893,0.1132852729145211,0.1920263350402341,0.1920263350402341,0.2284934000910332,0.2175438596491228,0.2198581560283688,0.0077821011673151,0.0077120822622107,0.1461438834856557,0.0719360568383659,0.0735970561177552,1.7352753384299129,0.2687363080825551,0.1510743886743886,2.7464607464607464,0.0668434427135122,0.3225685382109962,2.6753103333748496,1.6609484373459529,0.459953531657889,1.4782811786242969,0.8380252638394977,0.5197015906710367,1.7797900993777285,0.7826617826617829,0.3820604940296061,-0.0760456273764258,0.0,0.0842528884850058,0.1613420486865986,0.0008321775312066,0.1626086956521739,-0.0189393939393939
2022,76.43050003051758,-0.0114075770969156,,Communication Services,ATVI,FY,-0.1448369873906622,-0.1819303114400246,-0.487572875115066,-0.487572875115066,-0.4394220081511671,-0.4466858789625361,-0.4418604651162791,0.0064350064350064,0.0063775510204081,-0.0009494446974739,-0.08036454018227,-0.0878320479862896,1.2044434706767169,0.0344100389007769,0.137864235324072,1.3470844940529954,-0.0327557573649315,0.1891954559232092,0.8724789041510578,4.34368530020704,-0.0126558477248401,1.417906474360032,0.9608954055554564,0.4739467978760696,1.5581966802066098,0.5657492700812532,0.2719447281140142,0.2386831275720164,0.0,0.0928719667943805,0.086423257889711,0.0008314855875831,0.06282722513089,0.2233866519580805
2018,43.76748697381271,0.191758323955401,-0.161181036946205,Consumer Defensive,ADM,FY,0.0577530084829354,0.1925270964061608,0.2491434165442976,0.2491434165442976,0.1347962382445141,0.132867132867133,0.1433691756272401,0.0035906642728904,-0.0087412587412587,0.0346411154948906,-3.1637268204432383,-5.841652323580035,0.0713062085053077,-0.1553714991638718,0.0115595763798935,-2.032153838554752,-2.079183688000072,-3.0524357207802555,0.2218584391849618,0.5900093044584086,0.0419498621795275,0.6202921609224082,0.110167083155679,0.1287440629147388,1.5171875198816331,0.7836313062604664,0.1744042829652661,0.0217969165337586,-0.0392456121225335,0.0217701373770737,0.0327684948090581,0.1194448151608167,0.0,0.0863020572002007
2019,36.712998038844056,-0.161181036946205,0.1888237001777408,Consumer Defensive,ADM,FY,0.004895789620926,-0.0081320258311408,-0.1014890282131661,-0.1014890282131661,-0.2381215469613259,-0.2438271604938271,-0.2351097178683385,0.0071556350626118,-0.0035273368606701,0.0335017363633381,-0.1396321070234113,-0.1162460007109847,0.1971621131543711,-0.0990960461839284,0.055471388428263,-3.3199355168315368,-2.243168864900777,-4.761924315862359,-0.1839635925233989,-0.3059368343204617,0.0973368125908757,0.4984292147216485,0.1078562435774416,0.1359368805528196,1.4223485933650373,0.4306172291296625,0.1455266898594496,0.354318418314256,0.0405083399523431,0.077486346827321,0.0026248553873122,0.0844062947067239,0.0,0.1515011547344111
2020,43.64528217315674,0.1888237001777408,0.3374893730296493,Consumer Defensive,ADM,FY,-0.004655407077456,0.0737882806848324,0.1822939380723942,0.1822939380723942,0.2849891225525743,0.2897959183673469,0.290983606557377,-0.0035523978685612,0.0,0.029003973982726,0.5623624358033749,0.4890127388535031,-0.0387822719764867,0.0081726245945914,0.0504396136641736,-0.228678946326005,-2.0199943815421446,-2.071455233958228,0.0487446988082605,0.0164380418571873,0.1030504193697998,0.2780286160324691,0.18201964897311,0.0815141304507585,1.4679437712944785,0.2489524061576465,0.1003174370619979,-0.0426431041106415,0.2773173391494002,-0.2367434143237038,0.0444574458458614,0.2151495162708883,0.0,0.0778178900922583
2021,58.37510108947754,0.3374893730296493,0.4455474130107582,Consumer Defensive,ADM,FY,0.3246678579752933,0.3444868627891309,0.3935817041682036,0.3935817041682036,0.5287810383747178,0.5189873417721518,0.5206349206349207,0.0053475935828877,0.0017699115044247,0.0254188254477553,3.764040234702431,2.690869429728888,0.0,0.3891726234718943,0.3132100286582538,1.665821482379745,3.542535160476019,2.366332292630281,0.0,1.1518598306522718,0.4834165980956859,0.4671129829979054,0.3327601095732911,0.1763491748560805,1.1449614215571662,0.2087139952044192,0.0905097400774715,0.1579052969502407,0.2363186203363783,0.0635776182960602,0.1233291664711229,-0.1369763865014023,0.0,0.1142538146631931
2022,84.38397636413575,0.4455474130107582,,Consumer Defensive,ADM,FY,0.1947119614306326,0.2644062134625021,0.5074113287453679,0.5074113287453679,0.6020671834625323,0.6520833333333333,0.6096033402922756,-0.0301418439716312,-0.0053003533568904,0.1114384543553456,-0.4726307808946171,-0.6021009952082566,0.3663278232497715,0.7049703729002892,0.6213050691110812,-0.1982143844131893,0.6018015291665322,1.6565908088003531,2.8961467100047136,1.7707472506060418,2.2392653977858,0.4534621723862828,0.3521297494881559,0.3058007702719548,1.1618226070710496,0.2540206856828028,0.1727454510488133,0.3115577889447236,0.0200262412816794,0.0367342367566356,0.1129589210777795,-0.0376349722193102,0.0,0.1215764863059452
2018,266.221580103824,0.7484038099060666,0.0526510378508078,Technology,ADBE,FY,0.2367324270818139,0.2454286383721289,0.310075896120788,0.310075896120788,0.5294240575600045,0.5393586005830904,0.5384615384615385,-0.0062151562297419,-0.0065452992578668,0.0,0.3832843607281246,0.375903150986331,1.7733973900100877,1.2758098618547844,0.914488087668734,2.4592524542100938,2.575694030048572,1.7877850087040936,2.267376788381968,8.131001164562658,3.184061281370135,1.3339631971186403,0.4228845869956282,0.3594939979785579,0.0,0.0,0.0,0.0801416785991093,0.0,0.2912255988006238,0.1135710144172974,1.192385436327117,0.2563217949461586,0.1925484126764785
2019,280.23842259457234,0.0526510378508078,0.732492629282725,Technology,ADBE,FY,0.2371303547017898,0.2123249635067426,0.1505973343604299,0.1505973343604299,0.1392186273291302,0.1496212121212121,0.1538461538461538,-0.0087103823354343,-0.0125963406134062,0.0,0.0972897552530164,0.0862693925280215,3.0899400859283848,1.7579085720990508,0.9554776374380674,3.266016711309509,2.515825425149008,1.0597582441992754,7.23573832746813,10.258467941870514,1.587837287438435,1.3222013938777064,0.5910526984324748,0.4533888707416335,0.0,0.0,0.0,0.1666423427573279,0.0,0.1062257861260582,0.1346457250050688,0.0032648855702094,0.2551781362091075,0.2255848439282211
2020,485.51100158691406,0.732492629282725,0.322329476210484,Technology,ADBE,FY,0.1518805739387288,0.1734389266939669,0.2964636254288014,0.2964636254288014,0.7821700325737314,0.802306425041186,0.805,-0.0108803165182987,-0.0133693538281269,0.0,0.2953162792780607,0.2986463300151957,2.654158584090163,1.7824424058752368,0.8086598348481344,4.552568247355735,3.041169108526622,1.017747621338328,6.32695181925832,7.66372879531464,2.1867086588053035,1.7565596498574727,0.9643934648810693,0.6090483861311047,0.0,0.0,0.0,-0.0891374757380234,0.0,0.1696143027780988,0.2734764113158829,0.1376742969943698,0.1335448454793941,0.1052164081121284
